date,year,name_station,value
2018-01-01,2018,São Paulo - Morumbi,0
2018-01-01,2018,Butantã,56
2018-01-01,2018,Pinheiros,127
2018-01-01,2018,Faria Lima,38
2018-01-01,2018,Fradique Coutinho,15
2018-01-01,2018,Oscar Freire,0
2018-01-01,2018,Paulista,125
2018-01-01,2018,Higienópolis - Mackenzie,2
2018-01-01,2018,República,122
2018-01-01,2018,Luz,124
2018-02-01,2018,São Paulo - Morumbi,0
2018-02-01,2018,Butantã,69
2018-02-01,2018,Pinheiros,147
2018-02-01,2018,Faria Lima,43
2018-02-01,2018,Fradique Coutinho,19
2018-02-01,2018,Oscar Freire,0
2018-02-01,2018,Paulista,147
2018-02-01,2018,Higienópolis - Mackenzie,17
2018-02-01,2018,República,141
2018-02-01,2018,Luz,139
2018-03-01,2018,São Paulo - Morumbi,0
2018-03-01,2018,Butantã,79
2018-03-01,2018,Pinheiros,158
2018-03-01,2018,Faria Lima,46
2018-03-01,2018,Fradique Coutinho,20
2018-03-01,2018,Oscar Freire,0
2018-03-01,2018,Paulista,159
2018-03-01,2018,Higienópolis - Mackenzie,24
2018-03-01,2018,República,152
2018-03-01,2018,Luz,149
2018-04-01,2018,São Paulo - Morumbi,0
2018-04-01,2018,Butantã,78
2018-04-01,2018,Pinheiros,155
2018-04-01,2018,Faria Lima,45
2018-04-01,2018,Fradique Coutinho,19
2018-04-01,2018,Oscar Freire,4
2018-04-01,2018,Paulista,153
2018-04-01,2018,Higienópolis - Mackenzie,24
2018-04-01,2018,República,149
2018-04-01,2018,Luz,147
2018-05-01,2018,São Paulo - Morumbi,0
2018-05-01,2018,Butantã,76
2018-05-01,2018,Pinheiros,157
2018-05-01,2018,Faria Lima,47
2018-05-01,2018,Fradique Coutinho,20
2018-05-01,2018,Oscar Freire,13
2018-05-01,2018,Paulista,152
2018-05-01,2018,Higienópolis - Mackenzie,25
2018-05-01,2018,República,151
2018-05-01,2018,Luz,148
2018-06-01,2018,São Paulo - Morumbi,0
2018-06-01,2018,Butantã,72
2018-06-01,2018,Pinheiros,149
2018-06-01,2018,Faria Lima,46
2018-06-01,2018,Fradique Coutinho,19
2018-06-01,2018,Oscar Freire,14
2018-06-01,2018,Paulista,143
2018-06-01,2018,Higienópolis - Mackenzie,19
2018-06-01,2018,República,145
2018-06-01,2018,Luz,143
2018-07-01,2018,São Paulo - Morumbi,0
2018-07-01,2018,Butantã,65
2018-07-01,2018,Pinheiros,144
2018-07-01,2018,Faria Lima,44
2018-07-01,2018,Fradique Coutinho,18
2018-07-01,2018,Oscar Freire,15
2018-07-01,2018,Paulista,134
2018-07-01,2018,Higienópolis - Mackenzie,15
2018-07-01,2018,República,138
2018-07-01,2018,Luz,138
2018-08-01,2018,São Paulo - Morumbi,0
2018-08-01,2018,Butantã,78
2018-08-01,2018,Pinheiros,157
2018-08-01,2018,Faria Lima,48
2018-08-01,2018,Fradique Coutinho,19
2018-08-01,2018,Oscar Freire,16
2018-08-01,2018,Paulista,151
2018-08-01,2018,Higienópolis - Mackenzie,27
2018-08-01,2018,República,151
2018-08-01,2018,Luz,151
2018-09-01,2018,São Paulo - Morumbi,0
2018-09-01,2018,Butantã,78
2018-09-01,2018,Pinheiros,157
2018-09-01,2018,Faria Lima,48
2018-09-01,2018,Fradique Coutinho,19
2018-09-01,2018,Oscar Freire,17
2018-09-01,2018,Paulista,151
2018-09-01,2018,Higienópolis - Mackenzie,27
2018-09-01,2018,República,150
2018-09-01,2018,Luz,153
2018-10-01,2018,São Paulo - Morumbi,3
2018-10-01,2018,Butantã,76
2018-10-01,2018,Pinheiros,137
2018-10-01,2018,Faria Lima,47
2018-10-01,2018,Fradique Coutinho,19
2018-10-01,2018,Oscar Freire,17
2018-10-01,2018,Paulista,142
2018-10-01,2018,Higienópolis - Mackenzie,26
2018-10-01,2018,República,146
2018-10-01,2018,Luz,147
2018-11-01,2018,São Paulo - Morumbi,17
2018-11-01,2018,Butantã,67
2018-11-01,2018,Pinheiros,122
2018-11-01,2018,Faria Lima,46
2018-11-01,2018,Fradique Coutinho,19
2018-11-01,2018,Oscar Freire,18
2018-11-01,2018,Paulista,133
2018-11-01,2018,Higienópolis - Mackenzie,26
2018-11-01,2018,República,144
2018-11-01,2018,Luz,143
2018-12-01,2018,São Paulo - Morumbi,26
2018-12-01,2018,Butantã,55
2018-12-01,2018,Pinheiros,111
2018-12-01,2018,Faria Lima,41
2018-12-01,2018,Fradique Coutinho,18
2018-12-01,2018,Oscar Freire,17
2018-12-01,2018,Paulista,118
2018-12-01,2018,Higienópolis - Mackenzie,18
2018-12-01,2018,República,132
2018-12-01,2018,Luz,131
2019-01-01,2019,São Paulo - Morumbi,29
2019-01-01,2019,Butantã,48
2019-01-01,2019,Pinheiros,110
2019-01-01,2019,Faria Lima,40
2019-01-01,2019,Fradique Coutinho,18
2019-01-01,2019,Oscar Freire,17
2019-01-01,2019,Paulista,117
2019-01-01,2019,Higienópolis - Mackenzie,16
2019-01-01,2019,República,128
2019-01-01,2019,Luz,127
2019-02-01,2019,São Paulo - Morumbi,39
2019-02-01,2019,Butantã,57
2019-02-01,2019,Pinheiros,125
2019-02-01,2019,Faria Lima,45
2019-02-01,2019,Fradique Coutinho,20
2019-02-01,2019,Oscar Freire,20
2019-02-01,2019,Paulista,141
2019-02-01,2019,Higienópolis - Mackenzie,29
2019-02-01,2019,República,147
2019-02-01,2019,Luz,143
2019-03-01,2019,São Paulo - Morumbi,43
2019-03-01,2019,Butantã,59
2019-03-01,2019,Pinheiros,127
2019-03-01,2019,Faria Lima,45
2019-03-01,2019,Fradique Coutinho,21
2019-03-01,2019,Oscar Freire,21
2019-03-01,2019,Paulista,145
2019-03-01,2019,Higienópolis - Mackenzie,31
2019-03-01,2019,República,150
2019-03-01,2019,Luz,146
2019-04-01,2019,São Paulo - Morumbi,46
2019-04-01,2019,Butantã,59
2019-04-01,2019,Pinheiros,131
2019-04-01,2019,Faria Lima,46
2019-04-01,2019,Fradique Coutinho,21
2019-04-01,2019,Oscar Freire,21
2019-04-01,2019,Paulista,148
2019-04-01,2019,Higienópolis - Mackenzie,32
2019-04-01,2019,República,154
2019-04-01,2019,Luz,149
2019-05-01,2019,São Paulo - Morumbi,47
2019-05-01,2019,Butantã,59
2019-05-01,2019,Pinheiros,130
2019-05-01,2019,Faria Lima,46
2019-05-01,2019,Fradique Coutinho,22
2019-05-01,2019,Oscar Freire,22
2019-05-01,2019,Paulista,149
2019-05-01,2019,Higienópolis - Mackenzie,32
2019-05-01,2019,República,154
2019-05-01,2019,Luz,148
2019-06-01,2019,São Paulo - Morumbi,48
2019-06-01,2019,Butantã,56
2019-06-01,2019,Pinheiros,128
2019-06-01,2019,Faria Lima,44
2019-06-01,2019,Fradique Coutinho,21
2019-06-01,2019,Oscar Freire,21
2019-06-01,2019,Paulista,141
2019-06-01,2019,Higienópolis - Mackenzie,25
2019-06-01,2019,República,147
2019-06-01,2019,Luz,148
2019-07-01,2019,São Paulo - Morumbi,44
2019-07-01,2019,Butantã,48
2019-07-01,2019,Pinheiros,122
2019-07-01,2019,Faria Lima,43
2019-07-01,2019,Fradique Coutinho,20
2019-07-01,2019,Oscar Freire,21
2019-07-01,2019,Paulista,131
2019-07-01,2019,Higienópolis - Mackenzie,20
2019-07-01,2019,República,140
2019-07-01,2019,Luz,141
2019-08-01,2019,São Paulo - Morumbi,51
2019-08-01,2019,Butantã,57
2019-08-01,2019,Pinheiros,130
2019-08-01,2019,Faria Lima,46
2019-08-01,2019,Fradique Coutinho,21
2019-08-01,2019,Oscar Freire,23
2019-08-01,2019,Paulista,147
2019-08-01,2019,Higienópolis - Mackenzie,32
2019-08-01,2019,República,152
2019-08-01,2019,Luz,150
2019-09-01,2019,São Paulo - Morumbi,52
2019-09-01,2019,Butantã,57
2019-09-01,2019,Pinheiros,132
2019-09-01,2019,Faria Lima,46
2019-09-01,2019,Fradique Coutinho,22
2019-09-01,2019,Oscar Freire,24
2019-09-01,2019,Paulista,148
2019-09-01,2019,Higienópolis - Mackenzie,33
2019-09-01,2019,República,154
2019-09-01,2019,Luz,151
2019-10-01,2019,São Paulo - Morumbi,53
2019-10-01,2019,Butantã,56
2019-10-01,2019,Pinheiros,133
2019-10-01,2019,Faria Lima,45
2019-10-01,2019,Fradique Coutinho,22
2019-10-01,2019,Oscar Freire,24
2019-10-01,2019,Paulista,148
2019-10-01,2019,Higienópolis - Mackenzie,31
2019-10-01,2019,República,153
2019-10-01,2019,Luz,153
2019-11-01,2019,São Paulo - Morumbi,54
2019-11-01,2019,Butantã,58
2019-11-01,2019,Pinheiros,137
2019-11-01,2019,Faria Lima,48
2019-11-01,2019,Fradique Coutinho,22
2019-11-01,2019,Oscar Freire,25
2019-11-01,2019,Paulista,149
2019-11-01,2019,Higienópolis - Mackenzie,32
2019-11-01,2019,República,156
2019-11-01,2019,Luz,153
2019-12-01,2019,São Paulo - Morumbi,47
2019-12-01,2019,Butantã,46
2019-12-01,2019,Pinheiros,117
2019-12-01,2019,Faria Lima,40
2019-12-01,2019,Fradique Coutinho,18
2019-12-01,2019,Oscar Freire,22
2019-12-01,2019,Paulista,122
2019-12-01,2019,Higienópolis - Mackenzie,21
2019-12-01,2019,República,133
2019-12-01,2019,Luz,137
2020-01-01,2020,São Paulo - Morumbi,45
2020-01-01,2020,Butantã,44
2020-01-01,2020,Pinheiros,119
2020-01-01,2020,Faria Lima,41
2020-01-01,2020,Fradique Coutinho,19
2020-01-01,2020,Oscar Freire,22
2020-01-01,2020,Paulista,123
2020-01-01,2020,Higienópolis - Mackenzie,19
2020-01-01,2020,República,132
2020-01-01,2020,Luz,138
2020-02-01,2020,São Paulo - Morumbi,51
2020-02-01,2020,Butantã,50
2020-02-01,2020,Pinheiros,120
2020-02-01,2020,Faria Lima,44
2020-02-01,2020,Fradique Coutinho,21
2020-02-01,2020,Oscar Freire,24
2020-02-01,2020,Paulista,138
2020-02-01,2020,Higienópolis - Mackenzie,30
2020-02-01,2020,República,141
2020-02-01,2020,Luz,145
2020-03-01,2020,São Paulo - Morumbi,36
2020-03-01,2020,Butantã,36
2020-03-01,2020,Pinheiros,84
2020-03-01,2020,Faria Lima,28
2020-03-01,2020,Fradique Coutinho,13
2020-03-01,2020,Oscar Freire,16
2020-03-01,2020,Paulista,92
2020-03-01,2020,Higienópolis - Mackenzie,19
2020-03-01,2020,República,96
2020-03-01,2020,Luz,102
2020-04-01,2020,São Paulo - Morumbi,12
2020-04-01,2020,Butantã,11
2020-04-01,2020,Pinheiros,25
2020-04-01,2020,Faria Lima,6
2020-04-01,2020,Fradique Coutinho,3
2020-04-01,2020,Oscar Freire,6
2020-04-01,2020,Paulista,24
2020-04-01,2020,Higienópolis - Mackenzie,4
2020-04-01,2020,República,29
2020-04-01,2020,Luz,37
2020-05-01,2020,São Paulo - Morumbi,13
2020-05-01,2020,Butantã,12
2020-05-01,2020,Pinheiros,28
2020-05-01,2020,Faria Lima,7
2020-05-01,2020,Fradique Coutinho,4
2020-05-01,2020,Oscar Freire,7
2020-05-01,2020,Paulista,26
2020-05-01,2020,Higienópolis - Mackenzie,4
2020-05-01,2020,República,32
2020-05-01,2020,Luz,42
2020-06-01,2020,São Paulo - Morumbi,15
2020-06-01,2020,Butantã,14
2020-06-01,2020,Pinheiros,33
2020-06-01,2020,Faria Lima,9
2020-06-01,2020,Fradique Coutinho,5
2020-06-01,2020,Oscar Freire,8
2020-06-01,2020,Paulista,31
2020-06-01,2020,Higienópolis - Mackenzie,5
2020-06-01,2020,República,39
2020-06-01,2020,Luz,50
2020-07-01,2020,São Paulo - Morumbi,19
2020-07-01,2020,Butantã,17
2020-07-01,2020,Pinheiros,40
2020-07-01,2020,Faria Lima,11
2020-07-01,2020,Fradique Coutinho,6
2020-07-01,2020,Oscar Freire,10
2020-07-01,2020,Paulista,38
2020-07-01,2020,Higienópolis - Mackenzie,6
2020-07-01,2020,República,47
2020-07-01,2020,Luz,60
2020-08-01,2020,São Paulo - Morumbi,21
2020-08-01,2020,Butantã,19
2020-08-01,2020,Pinheiros,45
2020-08-01,2020,Faria Lima,13
2020-08-01,2020,Fradique Coutinho,7
2020-08-01,2020,Oscar Freire,11
2020-08-01,2020,Paulista,44
2020-08-01,2020,Higienópolis - Mackenzie,7
2020-08-01,2020,República,54
2020-08-01,2020,Luz,67
2020-09-01,2020,São Paulo - Morumbi,24
2020-09-01,2020,Butantã,21
2020-09-01,2020,Pinheiros,50
2020-09-01,2020,Faria Lima,15
2020-09-01,2020,Fradique Coutinho,8
2020-09-01,2020,Oscar Freire,12
2020-09-01,2020,Paulista,49
2020-09-01,2020,Higienópolis - Mackenzie,8
2020-09-01,2020,República,60
2020-09-01,2020,Luz,73
2020-10-01,2020,São Paulo - Morumbi,26
2020-10-01,2020,Butantã,23
2020-10-01,2020,Pinheiros,55
2020-10-01,2020,Faria Lima,16
2020-10-01,2020,Fradique Coutinho,9
2020-10-01,2020,Oscar Freire,13
2020-10-01,2020,Paulista,54
2020-10-01,2020,Higienópolis - Mackenzie,9
2020-10-01,2020,República,64
2020-10-01,2020,Luz,79
2020-11-01,2020,São Paulo - Morumbi,28
2020-11-01,2020,Butantã,24
2020-11-01,2020,Pinheiros,58
2020-11-01,2020,Faria Lima,17
2020-11-01,2020,Fradique Coutinho,9
2020-11-01,2020,Oscar Freire,13
2020-11-01,2020,Paulista,57
2020-11-01,2020,Higienópolis - Mackenzie,10
2020-11-01,2020,República,68
2020-11-01,2020,Luz,82
2020-12-01,2020,São Paulo - Morumbi,26
2020-12-01,2020,Butantã,22
2020-12-01,2020,Pinheiros,54
2020-12-01,2020,Faria Lima,16
2020-12-01,2020,Fradique Coutinho,8
2020-12-01,2020,Oscar Freire,13
2020-12-01,2020,Paulista,51
2020-12-01,2020,Higienópolis - Mackenzie,8
2020-12-01,2020,República,63
2020-12-01,2020,Luz,76
2021-01-01,2021,São Paulo - Morumbi,26
2021-01-01,2021,Butantã,22
2021-01-01,2021,Pinheiros,55
2021-01-01,2021,Faria Lima,16
2021-01-01,2021,Fradique Coutinho,9
2021-01-01,2021,Oscar Freire,14
2021-01-01,2021,Paulista,53
2021-01-01,2021,Higienópolis - Mackenzie,9
2021-01-01,2021,República,63
2021-01-01,2021,Luz,75
2021-02-01,2021,São Paulo - Morumbi,27
2021-02-01,2021,Butantã,23
2021-02-01,2021,Pinheiros,58
2021-02-01,2021,Faria Lima,17
2021-02-01,2021,Fradique Coutinho,9
2021-02-01,2021,Oscar Freire,15
2021-02-01,2021,Paulista,57
2021-02-01,2021,Higienópolis - Mackenzie,10
2021-02-01,2021,República,66
2021-02-01,2021,Luz,78
2021-03-01,2021,São Paulo - Morumbi,22
2021-03-01,2021,Butantã,19
2021-03-01,2021,Pinheiros,47
2021-03-01,2021,Faria Lima,13
2021-03-01,2021,Fradique Coutinho,7
2021-03-01,2021,Oscar Freire,12
2021-03-01,2021,Paulista,45
2021-03-01,2021,Higienópolis - Mackenzie,8
2021-03-01,2021,República,52
2021-03-01,2021,Luz,63
2021-04-01,2021,São Paulo - Morumbi,22
2021-04-01,2021,Butantã,18
2021-04-01,2021,Pinheiros,46
2021-04-01,2021,Faria Lima,12
2021-04-01,2021,Fradique Coutinho,7
2021-04-01,2021,Oscar Freire,12
2021-04-01,2021,Paulista,42
2021-04-01,2021,Higienópolis - Mackenzie,7
2021-04-01,2021,República,50
2021-04-01,2021,Luz,61
2021-05-01,2021,São Paulo - Morumbi,25
2021-05-01,2021,Butantã,21
2021-05-01,2021,Pinheiros,53
2021-05-01,2021,Faria Lima,15
2021-05-01,2021,Fradique Coutinho,8
2021-05-01,2021,Oscar Freire,14
2021-05-01,2021,Paulista,48
2021-05-01,2021,Higienópolis - Mackenzie,9
2021-05-01,2021,República,57
2021-05-01,2021,Luz,74
2021-06-01,2021,São Paulo - Morumbi,26
2021-06-01,2021,Butantã,22
2021-06-01,2021,Pinheiros,55
2021-06-01,2021,Faria Lima,16
2021-06-01,2021,Fradique Coutinho,9
2021-06-01,2021,Oscar Freire,14
2021-06-01,2021,Paulista,50
2021-06-01,2021,Higienópolis - Mackenzie,9
2021-06-01,2021,República,61
2021-06-01,2021,Luz,76
2021-07-01,2021,São Paulo - Morumbi,27
2021-07-01,2021,Butantã,23
2021-07-01,2021,Pinheiros,55
